Rank,Country,Crime Index,Safety Index
1,France,"55,3","44,7"
3,Belgium,"49,2","50,8"
4,Sweden,"48,4","51,6"
5,United Kingdom,"47,4","52,6"
6,Italy,"47,3","52,7"
8,Greece,"46,7","53,3"
9,Ireland,"46,5","53,5"
13,Malta,"41,2","58,8"
17,Germany,"38,9","61,1"
20,Latvia,"37,4","62,6"
21,Bulgaria,"37,1","62,9"
22,Spain,"36,2","63,8"
23,Luxembourg,"34,4","65,6"
24,Hungary,"33,7","66,3"
25,Romania,"33,7","66,3"
27,Norway,"32,6","67,4"
28,Portugal,"31,2","68,8"
30,Poland,"30,7","69,3"
31,Austria,"29,3","70,7"
33,Netherlands,"26,3","73,7"
34,Denmark,"26,3","73,7"
35,Finland,"26,3","73,7"
36,Croatia,26,74
38,Switzerland,"25,3","74,7"
39,Slovenia,"24,2","75,8"
40,Estonia,"23,8","76,2"
