Country;Upper secondary and post-secondary non-tertiary;Tertiary
Denmark;1644;8024
Ireland;1442;5692
Sweden;1741;4948
Netherlands;1790;3799
Germany;837;2797
Italy;257;2578
Luxembourg;335;2494
Belgium;566;2323
Austria;416;1989
Malta;809;1468
Finland;526;1117
Slovenia;1031;933
Spain;345;845
France;461;827
Cyprus;79;691
Portugal;518;571
Lithuania;126;452
Hungary;76;446
Slovakia;86;427
Poland;16;369
Romania;206;299
Latvia;427;253
Estonia;131;251
Bulgaria;372;233
Czechia;184;115
Croatia;7;97
Greece;;20
Norway;2391;8492
Iceland;134;1978
Switzerland;534;570
Türkiye;48;273
